# Time(s)     N            E            Z
 3.10000e+00 -3.83237e-20  6.25874e-04  1.33815e-03
 3.11000e+00  3.82031e-20 -6.23904e-04 -1.41221e-03
 3.12000e+00 -3.88960e-20  6.35220e-04  1.35839e-03
 3.13000e+00  3.87615e-20 -6.33023e-04 -1.43293e-03
 3.14000e+00 -3.94877e-20  6.44882e-04  1.37920e-03
 3.15000e+00  3.93330e-20 -6.42357e-04 -1.45428e-03
 3.16000e+00 -4.01005e-20  6.54891e-04  1.40059e-03
 3.17000e+00  3.99175e-20 -6.51902e-04 -1.47629e-03
 3.18000e+00 -4.07362e-20  6.65273e-04  1.42262e-03
 3.19000e+00  4.05148e-20 -6.61656e-04 -1.49898e-03
 3.20000e+00 -4.13966e-20  6.76058e-04  1.44531e-03
 3.21000e+00  4.11246e-20 -6.71616e-04 -1.52237e-03
 3.22000e+00 -4.20838e-20  6.87280e-04  1.46871e-03
 3.23000e+00  4.17468e-20 -6.81777e-04 -1.54648e-03
 3.24000e+00 -4.27999e-20  6.98976e-04  1.49286e-03
 3.25000e+00  4.23806e-20 -6.92127e-04 -1.57135e-03
 3.26000e+00 -4.35480e-20  7.11192e-04  1.51780e-03
 3.27000e+00  4.30250e-20 -7.02652e-04 -1.59700e-03
 3.28000e+00 -4.43311e-20  7.23982e-04  1.54358e-03
 3.29000e+00  4.36787e-20 -7.13328e-04 -1.62345e-03
 3.30000e+00 -4.51533e-20  7.37409e-04  1.57027e-03
 3.31000e+00  4.43397e-20 -7.24123e-04 -1.65073e-03
 3.32000e+00 -4.60193e-20  7.51552e-04  1.59792e-03
 3.33000e+00  4.50051e-20 -7.34990e-04 -1.67886e-03
 3.34000e+00 -4.69352e-20  7.66509e-04  1.62661e-03
 3.35000e+00  4.56710e-20 -7.45863e-04 -1.70786e-03
 3.36000e+00 -4.79084e-20  7.82403e-04  1.65643e-03
 3.37000e+00  4.63316e-20 -7.56652e-04 -1.73775e-03
 3.38000e+00 -4.89485e-20  7.99390e-04  1.68747e-03
 3.39000e+00  4.69791e-20 -7.67226e-04 -1.76851e-03
 3.40000e+00 -5.00683e-20  8.17677e-04  1.71986e-03
 3.41000e+00  4.76022e-20 -7.77403e-04 -1.80014e-03
 3.42000e+00 -5.12844e-20  8.37538e-04  1.75373e-03
 3.43000e+00  4.81848e-20 -7.86918e-04 -1.83261e-03
 3.44000e+00 -5.26200e-20  8.59351e-04  1.78929e-03
 3.45000e+00  4.87036e-20 -7.95390e-04 -1.86583e-03
 3.46000e+00 -5.41075e-20  8.83642e-04  1.82677e-03
 3.47000e+00  4.91239e-20 -8.02254e-04 -1.89967e-03
 3.48000e+00 -5.57933e-20  9.11173e-04  1.86651e-03
 3.49000e+00  4.93936e-20 -8.06659e-04 -1.93391e-03
 3.50000e+00 -5.77467e-20  9.43075e-04  1.90895e-03
 3.51000e+00  4.94323e-20 -8.07290e-04 -1.96818e-03
 3.52000e+00 -6.00737e-20  9.81078e-04  1.95477e-03
 3.53000e+00  4.91122e-20 -8.02063e-04 -2.00185e-03
 3.54000e+00 -6.29422e-20  1.02792e-03  2.00496e-03
 3.55000e+00  4.82252e-20 -7.87577e-04 -2.03386e-03
 3.56000e+00 -6.66265e-20  1.08809e-03  2.06112e-03
 3.57000e+00  4.64230e-20 -7.58145e-04 -2.06243e-03
 3.58000e+00 -7.15861e-20  1.16909e-03  2.12583e-03
 3.59000e+00  4.31164e-20 -7.04144e-04 -2.08447e-03
 3.60000e+00 -7.85888e-20  1.28345e-03  2.20332e-03
 3.61000e+00  3.73420e-20 -6.09842e-04 -2.09494e-03
